呼應	verb echo; work in concert with	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">互相呼應</td><td style="width: 33.3333%;">echo each other</td><td style="width: 33.3333%;">hùxiāng hūyìng</td></tr></tbody></table>	呼應
明快	adjective 1 lucid and lively; sprightly 2 straightforward; forthright 3 dialect bright	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">明快的筆調</td><td style="width: 33.3333%;">lucid and lively style</td><td style="width: 33.3333%;">Míngkuài de bǐdiào</td></tr><tr><td style="width: 33.3333%;">節奏明快</td><td style="width: 33.3333%;">with sprightly rhythm; quick beat</td><td style="width: 33.3333%;">jiézòu míngkuài</td></tr><tr><td style="width: 33.3333%;">明快的性格</td><td style="width: 33.3333%;">forthright character</td><td style="width: 33.3333%;">míngkuài de xìnggé</td></tr></tbody></table>	明快
職場	noun workplace; office space	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">在職場拼爭多年</td><td style="width: 33.3333%;">have fought many years for a better job and a higher position</td><td style="width: 33.3333%;">Zài zhíchǎng pīnzhēng duō nián</td></tr></tbody></table>	職場
私交	noun personal friendship	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">我和他私交一向不錯。</td><td style="width: 33.3333%;">He and I have been on good terms with each other.</td><td style="width: 33.3333%;">Wǒ hé tā sījiāo yīxiàng bùcuò.</td></tr></tbody></table>	私交
統計	verb 1 statistics 2 add up; count	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">據不完全統計</td><td style="width: 33.3333%;">according to incomplete statistics (or figures)</td><td style="width: 33.3333%;">jù bù wánquán tǒngjì</td></tr><tr><td style="width: 33.3333%;">統計出席人數</td><td style="width: 33.3333%;">count the number of people present (at a meeting, etc.)</td><td style="width: 33.3333%;">tǒngjì chūxí rénshù</td></tr><tr><td style="width: 33.3333%;">將圖書分類整理並加以統計</td><td style="width: 33.3333%;">have the books classified, arranged in order and counted</td><td style="width: 33.3333%;">jiāng túshū fēnlèi zhěnglǐ bìng jiāyǐ tǒngjì</td></tr></tbody></table>	統計
髒話	noun obscene (or dirty, foul) language; obscenities	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">他用髒話罵人。</td><td style="width: 33.3333%;">He shouted obscenities at people.</td><td style="width: 33.3333%;">Tā yòng zānghuà mà rén.</td></tr></tbody></table>	髒話
延長	verb lengthen; prolong; extend (opp. 縮短)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">延長合同期限</td><td style="width: 33.3333%;">extend the contract period</td><td style="width: 33.3333%;">Yáncháng hétong qīxiàn</td></tr><tr><td style="width: 33.3333%;">會議延長了三天。</td><td style="width: 33.3333%;">The conference was prolonged for three more days.</td><td style="width: 33.3333%;">Huìyì yáncháng le sān tiān.</td></tr><tr><td style="width: 33.3333%;">輸油管延長了二百公里。</td><td style="width: 33.3333%;">The oil pipeline has been extended another 200 kilometres.</td><td style="width: 33.3333%;">Shūyóuguǎn yáncháng le èrbǎi gōnglǐ.</td></tr></tbody></table>	延長
暴增	verb increase sharply; augment; swell	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">去年筆記本電腦銷量暴增。</td><td style="width: 33.3333%;">Last year saw soaring sales of notebook computers.</td><td style="width: 33.3333%;">Qùnián bǐjìběn diànnǎo xiāoliàng bàozēng.</td></tr></tbody></table>	暴增
病例	noun case (of illness)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">急診病例</td><td style="width: 33.3333%;">emergency case</td><td style="width: 33.3333%;">jízhěn bìnglì</td></tr><tr><td style="width: 33.3333%;">流感病例</td><td style="width: 33.3333%;">case of influenza</td><td style="width: 33.3333%;">liúgǎn bìnglì</td></tr></tbody></table>	病例
激增	verb increase sharply; soar; shoot up	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">化肥的產量激增。</td><td style="width: 33.3333%;">The output of chemical fertilizer has soared.</td><td style="width: 33.3333%;">Huàféi de chǎnliàng jīzēng.</td></tr><tr><td style="width: 33.3333%;">經濟危機加劇, 失業人數激增。</td><td style="width: 33.3333%;">With the deepening of the economic crisis, unemployment shot up.</td><td style="width: 33.3333%;">Jīngjì wēijī jiājù, shīyè rénshù jīzēng.</td></tr></tbody></table>	激增
意味著	signify; mean; imply	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">這一數字意味著生產提高了兩倍。</td><td style="width: 33.3333%;">This figure means a twofold increase in production.</td><td style="width: 33.3333%;">Zhè yī shùzì yìwèizhe shēngchǎn tígāo le liǎng bèi.</td></tr></tbody></table>	意味著
疫情	noun information about and appraisal of an epidemic; epidemic situation	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">報告疫情</td><td style="width: 33.3333%;">report epidemic diseases</td><td style="width: 33.3333%;">bàogào yìqíng</td></tr><tr><td style="width: 33.3333%;">疫情已得到控制。</td><td style="width: 33.3333%;">The epidemic has been brought under control.</td><td style="width: 33.3333%;">yìqíng yǐ dédào kòngzhì.</td></tr></tbody></table>	疫情
演變	verb develop; evolve	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">從猿到人的演變</td><td style="width: 33.3333%;">evolution from ape to man</td><td style="width: 33.3333%;">Cóng yuán dào rén deyǎnbiàn</td></tr></tbody></table>	演變
組織	noun 1 organization; organized system 2 textile weave 3 physiology tissue	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">黨團組織</td><td style="width: 33.3333%;">Party and Youth League organizations</td><td style="width: 33.3333%;">Dǎng tuánzǔzhī</td></tr><tr><td style="width: 33.3333%;">群眾組織</td><td style="width: 33.3333%;">mass organizations</td><td style="width: 33.3333%;">qúnzhòng zǔzhī</td></tr><tr><td style="width: 33.3333%;">給予組織處分</td><td style="width: 33.3333%;">take disciplinary measures against a member of an organization</td><td style="width: 33.3333%;">jǐyǔ zǔzhī chǔfèn</td></tr><tr><td style="width: 33.3333%;">緞紋組織</td><td style="width: 33.3333%;">satin weave</td><td style="width: 33.3333%;">duàn wén zǔzhī</td></tr><tr><td style="width: 33.3333%;">平紋組織</td><td style="width: 33.3333%;">plain weave</td><td style="width: 33.3333%;">Píngwén zǔzhī</td></tr><tr><td style="width: 33.3333%;">斜紋組織</td><td style="width: 33.3333%;">twill weave</td><td style="width: 33.3333%;">xiéwén zǔzhī</td></tr><tr><td style="width: 33.3333%;">神經組織</td><td style="width: 33.3333%;">nerve (or nervous) tissue verb organize; form</td><td style="width: 33.3333%;">shénjīng zǔzhī</td></tr><tr><td style="width: 33.3333%;">組織勞力</td><td style="width: 33.3333%;">organize the labour for; organize a work force</td><td style="width: 33.3333%;">zǔzhī láolì</td></tr><tr><td style="width: 33.3333%;">組織一次演出</td><td style="width: 33.3333%;">put together a performance</td><td style="width: 33.3333%;">zǔzhī yī cì yǎnchū</td></tr><tr><td style="width: 33.3333%;">組織一次座談</td><td style="width: 33.3333%;">organize a discussion</td><td style="width: 33.3333%;">zǔzhī yī cì zuòtán</td></tr><tr><td style="width: 33.3333%;">組織一支登山隊</td><td style="width: 33.3333%;">form a mountaineering team</td><td style="width: 33.3333%;">zǔzhī yī zhī dēngshānduì</td></tr><tr><td style="width: 33.3333%;">這篇文章組織得很好。</td><td style="width: 33.3333%;">This article is well-constructed.</td><td style="width: 33.3333%;">Zhè piān wénzhāng zǔzhī de hěn hǎo.</td></tr></tbody></table>	組織
擴散	verb spread; diffuse; scatter; proliferate	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">擴散謠言</td><td style="width: 33.3333%;">spread rumours</td><td style="width: 33.3333%;">kuòsàn yáoyán</td></tr><tr><td style="width: 33.3333%;">擴散影響</td><td style="width: 33.3333%;">extend influence</td><td style="width: 33.3333%;">kuòsàn yǐngxiǎng</td></tr><tr><td style="width: 33.3333%;">病菌擴散</td><td style="width: 33.3333%;">proliferation of germs</td><td style="width: 33.3333%;">bìngjūn kuòsàn</td></tr><tr><td style="width: 33.3333%;">廢氣擴散</td><td style="width: 33.3333%;">diffusion of waste gas</td><td style="width: 33.3333%;">fèiqì kuòsàn</td></tr></tbody></table>	擴散
縮短	verb shorten; cut down; cut short (opp. 延長)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">縮短距離</td><td style="width: 33.3333%;">reduce the distance; narrow the gap</td><td style="width: 33.3333%;">suōduǎn jùlí</td></tr><tr><td style="width: 33.3333%;">縮短學制</td><td style="width: 33.3333%;">shorten the period of schooling</td><td style="width: 33.3333%;">suōduǎn xuézhì</td></tr><tr><td style="width: 33.3333%;">縮短戰線</td><td style="width: 33.3333%;">contract the front; narrow the scope of an activity</td><td style="width: 33.3333%;">suōduǎn zhànxiàn</td></tr><tr><td style="width: 33.3333%;">把報告縮短一半</td><td style="width: 33.3333%;">cut a report down to half its length</td><td style="width: 33.3333%;">bǎ bàogào suōduǎn yībàn</td></tr><tr><td style="width: 33.3333%;">把停留時間縮短一天</td><td style="width: 33.3333%;">cut short one’s stay by one day</td><td style="width: 33.3333%;">bǎ tíngliú shíjiān suōduǎn yī tiān</td></tr><tr><td style="width: 33.3333%;">縮短中國在經濟技術上同發達國家之間的差距</td><td style="width: 33.3333%;">narrow the economic and technological gaps between China and the developed countries</td><td style="width: 33.3333%;">suōduǎn Zhōngguó zài jīngjì jìshù shàng tóng fādá guójiā zhījiān de chājù</td></tr><tr><td style="width: 33.3333%;">期限從五天縮短到三天。</td><td style="width: 33.3333%;">The time allowed has been reduced from 5 to 3 days.</td><td style="width: 33.3333%;">Qīxiàn cóng wǔ tiān suōduǎn dào sān tiān.</td></tr></tbody></table>	縮短
施洗	verb Christianity baptize	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">給某人施洗</td><td style="width: 33.3333%;">baptize sb.</td><td style="width: 33.3333%;">gěi mǒurén shī xǐ</td></tr></tbody></table>	施洗
詭詐	adjective crafty; cunning; treacherous	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">詭詐異常</td><td style="width: 33.3333%;">extremely wily</td><td style="width: 33.3333%;">guǐzhà yìcháng</td></tr></tbody></table>	詭詐
甘心	verb 1 do sth. willingly 2 be reconciled to; resign oneself to; be content with	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">甘心情願</td><td style="width: 33.3333%;">be ready and willing</td><td style="width: 33.3333%;">gānxīnqíngyuàn</td></tr><tr><td style="width: 33.3333%;">不甘心受命運的擺布</td><td style="width: 33.3333%;">refuse to resign oneself to fate</td><td style="width: 33.3333%;">bù gānxīn shòu mìngyùn de bǎibu</td></tr></tbody></table>	甘心
穿插	verb 1 weave in; insert 2 military thrust deep into the enemy forces 3 alternate; do in turn<br>noun subplot; interlude; episode	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">他在報告中穿插了一些生動的例子。</td><td style="width: 33.3333%;">His talk was spiced with vivid examples.</td><td style="width: 33.3333%;">Tā zài bàogào zhōng chuānchā le yīxiē shēngdòng de lìzi.</td></tr><tr><td style="width: 33.3333%;">穿插分割敵人</td><td style="width: 33.3333%;">penetrate and cut up the enemy forces</td><td style="width: 33.3333%;">chuānchā fēngē dírén</td></tr><tr><td style="width: 33.3333%;">打穿插</td><td style="width: 33.3333%;">fight a deep-thrust battle</td><td style="width: 33.3333%;">Dǎ chuānchā</td></tr><tr><td style="width: 33.3333%;">施肥和除草穿插進行</td><td style="width: 33.3333%;">do manuring and weeding in turn</td><td style="width: 33.3333%;">Shīféi hé chúcǎo chuānchā jìnxíng</td></tr></tbody></table>	穿插
不妥	adjective improper; inappropriate	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">覺得有些不妥</td><td style="width: 33.3333%;">feel that something is amiss</td><td style="width: 33.3333%;">Juéde yǒuxiē bùtuǒ</td></tr><tr><td style="width: 33.3333%;">這樣處理, 恐怕不妥。</td><td style="width: 33.3333%;">I’m afraid this isn’t the proper way to handle the case.</td><td style="width: 33.3333%;">Zhèyàng chǔlǐ, kǒngpà bùtuǒ.</td></tr><tr><td style="width: 33.3333%;">沒有調查研究就作決定, 這樣不妥。</td><td style="width: 33.3333%;">It’s not right to make a decision without investigation and study.</td><td style="width: 33.3333%;">Méiyǒu diàochá yánjiū jiù zuò juédìng, zhèyàng bùtuǒ.</td></tr></tbody></table>	不妥
荒唐	adjective 1 absurd; fantastic; preposterous 2 dissipated; loose; intemperate	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">荒唐可笑</td><td style="width: 33.3333%;">ridiculous; absurd; laughable</td><td style="width: 33.3333%;">huāngtang kěxiào</td></tr><tr><td style="width: 33.3333%;">荒唐透頂</td><td style="width: 33.3333%;">absolutely ridiculous; preposterous</td><td style="width: 33.3333%;">huāngtangtòudǐng</td></tr></tbody></table>	荒唐
丁香	noun 1 lilac 2 clove	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">丁香油</td><td style="width: 33.3333%;">clove oil</td><td style="width: 33.3333%;">dīngxiāngyóu</td></tr></tbody></table>	丁香
偵探	noun detective; spy<br>verb do detective work	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">私人偵探</td><td style="width: 33.3333%;">private detective</td><td style="width: 33.3333%;">sīrén zhēntàn</td></tr></tbody></table>	偵探
暴露	verb expose; reveal; lay bare	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">暴露目標</td><td style="width: 33.3333%;">give away one’s position</td><td style="width: 33.3333%;">bàolù mùbiāo</td></tr><tr><td style="width: 33.3333%;">暴露思想</td><td style="width: 33.3333%;">bare one’s thoughts; reveal one’s thoughts</td><td style="width: 33.3333%;">bàolù sīxiǎng</td></tr><tr><td style="width: 33.3333%;">暴露無遺</td><td style="width: 33.3333%;">thoroughly expose</td><td style="width: 33.3333%;">bàolùwúyí</td></tr><tr><td style="width: 33.3333%;">暴露意圖</td><td style="width: 33.3333%;">disclose one’s intention</td><td style="width: 33.3333%;">bàolù yìtú</td></tr><tr><td style="width: 33.3333%;">暴露騙子的真面目</td><td style="width: 33.3333%;">unmask a cheat</td><td style="width: 33.3333%;">bàolù piànzi de zhēn miànmù</td></tr><tr><td style="width: 33.3333%;">暴露在光天化日之下</td><td style="width: 33.3333%;">expose to the light of day</td><td style="width: 33.3333%;">bàolù zài guāngtiānhuàrì zhīxià</td></tr><tr><td style="width: 33.3333%;">陰謀暴露了。</td><td style="width: 33.3333%;">The plot was exposed (or brought to light).</td><td style="width: 33.3333%;">yīnmóu bàolù le.</td></tr></tbody></table>	暴露
獄	noun 1 prison; jail 2 lawsuit; case	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">獄中生活</td><td style="width: 33.3333%;">life in prison</td><td style="width: 33.3333%;">yù zhōng shēnghuó</td></tr><tr><td style="width: 33.3333%;">冤獄</td><td style="width: 33.3333%;">unjust verdict (or charge)</td><td style="width: 33.3333%;">yuānyù</td></tr></tbody></table>	獄
奉	verb 1 literary give or present with respect 2 receive (orders, etc.) 3 literary esteem; revere 4 literary believe in 5 wait on; attend to 6 literary courteous have the honour to	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">雙手奉上</td><td style="width: 33.3333%;">present respectfully with both hands</td><td style="width: 33.3333%;">shuāngshǒufèngshang</td></tr><tr><td style="width: 33.3333%;">奉上新書一冊。</td><td style="width: 33.3333%;">I am forwarding you a new book.</td><td style="width: 33.3333%;">Fèng shàng xīn shū yī cè.</td></tr><tr><td style="width: 33.3333%;">奉上級指示, 暫停開放。</td><td style="width: 33.3333%;">Temporarily closed on orders from above.</td><td style="width: 33.3333%;">Fèng shàngjí zhǐshì, zàntíng kāifàng.</td></tr><tr><td style="width: 33.3333%;">奉為典範</td><td style="width: 33.3333%;">look upon as a model</td><td style="width: 33.3333%;">fèngwéidiǎnfàn</td></tr><tr><td style="width: 33.3333%;">素奉佛教</td><td style="width: 33.3333%;">have always believed in Buddhism</td><td style="width: 33.3333%;">sù fèng Fójiào</td></tr><tr><td style="width: 33.3333%;">侍奉</td><td style="width: 33.3333%;">support and wait on; serve</td><td style="width: 33.3333%;">shìfèng</td></tr><tr><td style="width: 33.3333%;">奉訪未晤, 甚悵。</td><td style="width: 33.3333%;">Much to my regret you weren’t at home when I called.</td><td style="width: 33.3333%;">Fèng fǎng wèi wù, shèn chàng.</td></tr></tbody></table>	奉
控告	verb charge; accuse; complain	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">控告某人的罪行</td><td style="width: 33.3333%;">accuse sb. of a crime; bring a charge (or suit, accusation) against sb.</td><td style="width: 33.3333%;">kònggào mǒurén de zuìxíng</td></tr><tr><td style="width: 33.3333%;">駁回控告</td><td style="width: 33.3333%;">rebut a charge</td><td style="width: 33.3333%;">bóhuí kònggào</td></tr><tr><td style="width: 33.3333%;">撤回控告</td><td style="width: 33.3333%;">withdraw (or retract) a charge</td><td style="width: 33.3333%;">chèhuí kònggào</td></tr><tr><td style="width: 33.3333%;">向法院提出控告</td><td style="width: 33.3333%;">file charges in court</td><td style="width: 33.3333%;">Xiàng fǎyuàn tíchū kònggào</td></tr><tr><td style="width: 33.3333%;">向國家機關提出控告</td><td style="width: 33.3333%;">lodge complaints with organs of state</td><td style="width: 33.3333%;">xiàng guójiā jīguān tíchū kònggào</td></tr></tbody></table>	控告
展現	verb unfold before one's eyes; emerge; develop	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">到了工地, 一派繁忙的景象展現在眼前。</td><td style="width: 33.3333%;">As we reached the construction site, a scene of bustling activity presented itself.</td><td style="width: 33.3333%;">dàoliǎo gōngdì, yī pài fánmáng de jǐngxiàng zhǎnxiàn zài yǎnqián.</td></tr></tbody></table>	展現
自卑	adjective feel inferior; abject	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">不自滿, 也不自卑</td><td style="width: 33.3333%;">neither complacent nor self-abasing</td><td style="width: 33.3333%;">Bù zìmǎn, yě bù zìbēi</td></tr></tbody></table>	自卑
收拾	verb 1 put in order; tidy; clear away 2 get things ready; pack 3 repair; mend 4 colloquial settle scores with; deal with 5 liquidate; eliminate	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">收拾殘局</td><td style="width: 33.3333%;">clear up the mess; pick up the pieces</td><td style="width: 33.3333%;">shōushi cánjú</td></tr><tr><td style="width: 33.3333%;">收拾床鋪</td><td style="width: 33.3333%;">make the bed</td><td style="width: 33.3333%;">shōushi chuángpù</td></tr><tr><td style="width: 33.3333%;">收拾碗筷</td><td style="width: 33.3333%;">clear away the bowls and chopsticks; clear the table</td><td style="width: 33.3333%;">shōushi wǎn-kuài</td></tr><tr><td style="width: 33.3333%;">收拾屋子</td><td style="width: 33.3333%;">tidy up the room</td><td style="width: 33.3333%;">Shōushi wūzi</td></tr><tr><td style="width: 33.3333%;">把工具收拾一下。</td><td style="width: 33.3333%;">Put the tools in order.</td><td style="width: 33.3333%;">Bǎ gōngjù shōu shi yī xià.</td></tr><tr><td style="width: 33.3333%;">收拾行李</td><td style="width: 33.3333%;">pack one’s luggage; pack one’s things</td><td style="width: 33.3333%;">shōushi xínglǐ</td></tr><tr><td style="width: 33.3333%;">收拾藥箱</td><td style="width: 33.3333%;">prepare a medical kit; pack a first aid kit</td><td style="width: 33.3333%;">shōushi yàoxiāng</td></tr><tr><td style="width: 33.3333%;">咱們趕緊收拾收拾走吧。</td><td style="width: 33.3333%;">Let’s hurry and get our things together and be off.</td><td style="width: 33.3333%;">Zánmen gǎnjǐn shōushi shōushi zǒu ba.</td></tr><tr><td style="width: 33.3333%;">收拾鞋子</td><td style="width: 33.3333%;">mend shoes</td><td style="width: 33.3333%;">Shōushi xiézi</td></tr><tr><td style="width: 33.3333%;">早晚我們要收拾這個壞蛋。</td><td style="width: 33.3333%;">We’ll settle scores with the scoundrel one of these days.</td><td style="width: 33.3333%;">Zǎo wǎn wǒmen yào shōushi zhège huàidàn.</td></tr><tr><td style="width: 33.3333%;">收拾敵人據點</td><td style="width: 33.3333%;">wipe out an enemy stronghold</td><td style="width: 33.3333%;">shōushi dírén jùdiǎn</td></tr></tbody></table>	收拾
操勞	verb 1 work hard; labour 2 take care; look after	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">她操勞過度, 病倒了。</td><td style="width: 33.3333%;">She overworked herself and fell ill.</td><td style="width: 33.3333%;">Tā cāoláo guòdù, bìngdǎo le.</td></tr><tr><td style="width: 33.3333%;">父親操勞了多半輩子, 勉強顧上一家人的溫飽。</td><td style="width: 33.3333%;">For most of his life, Father worked extremely hard to keep the wolf from the door.</td><td style="width: 33.3333%;">Fùqin cāoláo le duō bànbèizi, miǎnqiǎng gù shàng yī jiā rén de wēnbǎo.</td></tr><tr><td style="width: 33.3333%;">這事請您多操勞。</td><td style="width: 33.3333%;">Would you mind looking after this?</td><td style="width: 33.3333%;">Zhè shì qǐng nín duō cāoláo.</td></tr></tbody></table>	操勞
通勤	verb commute	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">每天在京津兩地之間通勤</td><td style="width: 33.3333%;">commute daily between Beijing and Tianjin</td><td style="width: 33.3333%;">Měitiān zài jīng jīn liǎng dì zhījiān tōngqín</td></tr></tbody></table>	通勤
奧客	1 (coll.) (Tw) troublesome customer 2 obnoxious guest (from Taiwanese 漚客, Tai-lo pr. [àu-kheh])	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody></tbody></table>	奧客
引擎	noun engine	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">汽車引擎</td><td style="width: 33.3333%;">automobile engine</td><td style="width: 33.3333%;">qìchē yǐnqíng</td></tr><tr><td style="width: 33.3333%;">搜索引擎</td><td style="width: 33.3333%;">search engine</td><td style="width: 33.3333%;">sōusuǒyǐnqíng</td></tr></tbody></table>	引擎
牽手	verb 1 (-//-) hand in hand 2 join hands (to do sth.); unite	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">兩家公司決定牽手開拓新市場。</td><td style="width: 33.3333%;">The two companies have decided to join hands to open up new market.</td><td style="width: 33.3333%;">Liǎng jiā gōngsī juédìng qiānshǒu kāituò xīn shìchǎng.</td></tr></tbody></table>	牽手
印尼	Indonesia (abbr. for 印度尼西亞)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody></tbody></table>	印尼
開庭	verb law open a court session; call the court to order; hold a court (opp. 休庭)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody></tbody></table>	開庭
奧客	1 (coll.) (Tw) troublesome customer 2 obnoxious guest (from Taiwanese 漚客, Tai-lo pr. [àu-kheh])	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody></tbody></table>	奧客
竄	verb 1 flee; scurry 2 literary exile; expel 3 dated change (the wording of a text, manuscript, etc.); alter	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">東逃西竄</td><td style="width: 33.3333%;">flee in all directions; flee in disorder</td><td style="width: 33.3333%;">dōngtáo-xīcuàn</td></tr><tr><td style="width: 33.3333%;">點竄</td><td style="width: 33.3333%;">make some alterations (in wording)</td><td style="width: 33.3333%;">diǎncuàn</td></tr></tbody></table>	竄
煙霧	noun 1 smoke, mist, or vapour; mixture of smoke and vapour 2 smog	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">煙霧彌漫</td><td style="width: 33.3333%;">be full of smoke; be enveloped in mist</td><td style="width: 33.3333%;">yānwù mímàn</td></tr><tr><td style="width: 33.3333%;">化學煙霧</td><td style="width: 33.3333%;">chemical smog</td><td style="width: 33.3333%;">huàxué yānwù</td></tr><tr><td style="width: 33.3333%;">廚房裡煙霧騰騰。</td><td style="width: 33.3333%;">The kitchen is filled with steam and smoke.</td><td style="width: 33.3333%;">Chúfáng lǐ yān wùténgténg.</td></tr><tr><td style="width: 33.3333%;">煙霧籠罩著那座城市。</td><td style="width: 33.3333%;">The city was shrouded in thick smog.</td><td style="width: 33.3333%;">Yānwù lǒngzhào zhe nà zuò chéngshì.</td></tr></tbody></table>	煙霧
品質	noun 1 character; intrinsic quality 2 quality (of commodities, etc.)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">道德品質</td><td style="width: 33.3333%;">moral character; moral fibre</td><td style="width: 33.3333%;">dàodé pǐnzhì</td></tr><tr><td style="width: 33.3333%;">品質優良</td><td style="width: 33.3333%;">of the best quality</td><td style="width: 33.3333%;">pǐnzhì yōuliáng</td></tr></tbody></table>	品質
摧毀	verb destroy; smash; wreck	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">摧毀敵人據點兒</td><td style="width: 33.3333%;">destroy enemy strongholds</td><td style="width: 33.3333%;">cuīhuǐ dírén jùdiǎn r</td></tr><tr><td style="width: 33.3333%;">摧毀走私者的窩點兒</td><td style="width: 33.3333%;">destroy the smuggler’s hideout</td><td style="width: 33.3333%;">cuīhuǐ zǒusīzhě de wō diǎn r</td></tr></tbody></table>	摧毀
導致	verb lead to; result in; cause	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">導致第二次世界大戰的一些事件</td><td style="width: 33.3333%;">the events that led up to World War II</td><td style="width: 33.3333%;">Dǎozhì dì-èr cì shìjiè dàzhàn de yīxiē shìjiàn</td></tr><tr><td style="width: 33.3333%;">理論上的錯誤必然導致實踐上的失敗。</td><td style="width: 33.3333%;">Errors in theory will inevitably result in failures in practice.</td><td style="width: 33.3333%;">Lǐlùn shàng de cuòwù bìrán dǎozhì shíjiàn shàng de shībài.</td></tr></tbody></table>	導致
生態	noun organisms' habits, modes of life and relation to their environment; ecology	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">生態脆弱地區</td><td style="width: 33.3333%;">ecologically vulnerable area</td><td style="width: 33.3333%;">shēngtài cuìruò dìqū</td></tr><tr><td style="width: 33.3333%;">生態的自我修復能力</td><td style="width: 33.3333%;">ecological self-regeneration capacity</td><td style="width: 33.3333%;">shēngtài de zìwǒ xiūfù nénglì</td></tr></tbody></table>	生態
浩劫	noun great calamity; catastrophe	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">空前的浩劫</td><td style="width: 33.3333%;">unprecedented calamity</td><td style="width: 33.3333%;">kōngqián dehàojié</td></tr></tbody></table>	浩劫
估算	verb estimate; appraise; reckon	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">估算產量</td><td style="width: 33.3333%;">estimate the yield</td><td style="width: 33.3333%;">Gūsuàn chǎnliàng</td></tr><tr><td style="width: 33.3333%;">估算幾種可能性</td><td style="width: 33.3333%;">reckon with several possibilities</td><td style="width: 33.3333%;">gūsuàn jǐ zhǒng kěnéngxìng</td></tr></tbody></table>	估算
